No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
1,20220103,10:01:00 AM,2022,1,3,10,1,SPY,C,500,6/17/2022,9.33,475.535,0.95107,118,0.001321518,0.22
2,20220103,10:05:00 AM,2022,1,3,10,5,SPY,C,500,6/17/2022,9.16,475.195,0.95039,118,0.001181039,0.22
3,20220103,10:37:00 AM,2022,1,3,10,37,SPY,C,500,6/17/2022,9.37,475.995,0.95199,118,0.001080486,0.22
4,20220103,11:11:00 AM,2022,1,3,11,11,SPY,C,500,6/17/2022,9.2,475.565,0.95113,118,0.001174766,0.22
5,20220103,11:18:00 AM,2022,1,3,11,18,SPY,C,500,6/17/2022,9.07,475.24,0.95048,118,0.001064734,0.22
6,20220103,11:34:00 AM,2022,1,3,11,34,SPY,C,500,6/17/2022,9.1,475.2,0.9504,118,0.001065007,0.22
7,20220103,11:35:00 AM,2022,1,3,11,35,SPY,C,500,6/17/2022,9.05,474.88,0.94976,118,0.001059548,0.22
8,20220103,11:40:00 AM,2022,1,3,11,40,SPY,C,500,6/17/2022,8.91,474.855,0.94971,118,0.000386436,0.22
9,20220103,11:48:00 AM,2022,1,3,11,48,SPY,C,500,6/17/2022,9.25,475.66,0.95132,118,0.000974181,0.22
10,20220103,11:57:00 AM,2022,1,3,11,57,SPY,C,500,6/17/2022,9.1,475.345,0.95069,118,0.000970289,0.22
11,20220103,12:00:00 PM,2022,1,3,12,0,SPY,C,500,6/17/2022,9.05,475.135,0.95027,118,0.000995016,0.22
12,20220103,12:02:00 PM,2022,1,3,12,2,SPY,C,500,6/17/2022,9,475.16,0.95032,118,0.000927801,0.22
13,20220103,12:05:00 PM,2022,1,3,12,5,SPY,C,500,6/17/2022,9.06,475.16,0.95032,118,0.000925673,0.22
14,20220103,12:43:00 PM,2022,1,3,12,43,SPY,C,500,6/17/2022,9.1,475.555,0.95111,118,0.000573992,0.22
15,20220103,12:59:00 PM,2022,1,3,12,59,SPY,C,500,6/17/2022,9.05,475.585,0.95117,118,0.000458784,0.22
