Epoch	loss_batch16	val_loss_batch16	loss_batch32	val_loss_batch32	loss_batch64	val_loss_batch64
1	0.0045	0.2377	0.0043	0.1977	0.0039	0.1975
2	0.0049	0.2783	0.0035	0.2602	0.0035	0.2325
3	0.0058	0.2067	0.0039	0.2157	0.0040	0.2643
4	0.0053	0.1667	0.0038	0.2241	0.0035	0.2185
5	0.0050	0.1649	0.0045	0.2152	0.0033	0.2350
6	0.0047	0.2098	0.0038	0.2504	0.0032	0.2750
7	0.0049	0.2757	0.0038	0.1881	0.0035	0.2516
8	0.0040	0.2349	0.0033	0.2182	0.0031	0.2624
9	0.0049	0.2344	0.0040	0.2360	0.0032	0.2470
10	0.0047	0.2375	0.0050	0.2521	0.0037	0.2259
11	0.0052	0.2630	0.0037	0.2794	0.0038	0.2497
12	0.0051	0.2892	0.0036	0.2588	0.0036	0.2525
13	0.0053	0.2736	0.0038	0.2885	0.0034	0.2264
14	0.0050	0.2979	0.0036	0.2714	0.0037	0.2254
15	0.0057	0.2042	0.0043	0.2823	0.0038	0.2248
16	0.0042	0.2575	0.0038	0.2710	0.0037	0.2583
17	0.0061	0.2237	0.0038	0.2414	0.0036	0.2575
18	0.0045	0.2386	0.0038	0.2031	0.0037	0.2489
19	0.0043	0.3092	0.0038	0.2438	0.0033	0.2314
20	0.0048	0.2922	0.0035	0.2107	0.0039	0.2320
21	0.0041	0.1841	0.0035	0.1776	0.0036	0.2292
22	0.0047	0.2209	0.0045	0.2376	0.0032	0.2131
23	0.0055	0.1924	0.0038	0.2455	0.0035	0.2238
24	0.0048	0.2053	0.0044	0.2098	0.0033	0.1953
25	0.0050	0.2505	0.0039	0.2506	0.0033	0.2275
26	0.0046	0.2356	0.0040	0.3000	0.0035	0.2469
27	0.0040	0.2191	0.0037	0.2112	0.0034	0.2661
28	0.0056	0.2393	0.0041	0.2029	0.0033	0.2504
29	0.0049	0.2462	0.0044	0.3285	0.0038	0.1907
30	0.0050	0.2403	0.0039	0.2561	0.0041	0.2112
31	0.0044	0.3086	0.0037	0.2451	0.0040	0.2658
32	0.0051	0.2824	0.0041	0.2735	0.0034	0.2360
33	0.0046	0.2394	0.0036	0.1815	0.0034	0.2372
34	0.0049	0.2501	0.0040	0.2154	0.0032	0.1986
35	0.0041	0.2783	0.0036	0.2623	0.0033	0.2423
36	0.0043	0.2863	0.0039	0.2183	0.0031	0.2539
37	0.0048	0.2452	0.0033	0.2306	0.0033	0.2264
38	0.0048	0.1894	0.0038	0.2476	0.0038	0.1823
39	0.0055	0.2034	0.0045	0.2107	0.0034	0.2029
40	0.0046	0.2018	0.0036	0.1658	0.0036	0.2064
41	0.0046	0.2698	0.0035	0.2102	0.0034	0.2111
42	0.0050	0.2131	0.0037	0.2184	0.0035	0.2533
43	0.0046	0.2232	0.0038	0.1840	0.0037	0.2203
44	0.0047	0.2152	0.0046	0.2090	0.0035	0.2287
45	0.0048	0.2890	0.0038	0.1881	0.0034	0.2187
46	0.0044	0.1889	0.0036	0.2318	0.0029	0.2379
47	0.0045	0.1853	0.0037	0.1588	0.0033	0.1903
48	0.0048	0.2824	0.0046	0.2590	0.0033	0.2146
49	0.0047	0.2076	0.0037	0.2252	0.0038	0.2360
50	0.0045	0.2299	0.0038	0.1844	0.0038	0.2317
51	0.0052	0.2213	0.0039	0.2108	0.0035	0.1941
52	0.0055	0.2346	0.0036	0.1688	0.0033	0.2728
53	0.0038	0.2523	0.0043	0.1863	0.0040	0.1838
54	0.0040	0.2209	0.0037	0.2375	0.0036	0.1762
55	0.0043	0.1957	0.0040	0.1959	0.0033	0.2044
56	0.0050	0.2195	0.0041	0.2146	0.0036	0.2142
57	0.0056	0.1817	0.0036	0.1986	0.0033	0.2421
58	0.0052	0.1805	0.0053	0.2225	0.0033	0.2199
59	0.0042	0.2197	0.0037	0.2145	0.0036	0.2409
60	0.0043	0.1905	0.0037	0.2045	0.0036	0.2155
61	0.0050	0.2064	0.0035	0.1440	0.0032	0.2395
62	0.0041	0.2021	0.0036	0.2098	0.0034	0.2081
63	0.0046	0.2297	0.0040	0.2139	0.0037	0.2219
64	0.0046	0.1740	0.0038	0.2134	0.0040	0.2247
65	0.0048	0.1851	0.0038	0.2433	0.0035	0.1690
66	0.0059	0.1707	0.0038	0.2541	0.0038	0.2305
67	0.0044	0.2481	0.0034	0.2160	0.0034	0.1878
68	0.0053	0.1938	0.0038	0.2246	0.0036	0.2430
69	0.0047	0.2022	0.0044	0.1711	0.0033	0.1841
70	0.0048	0.2302	0.0039	0.2554	0.0034	0.1768
71	0.0048	0.2331	0.0039	0.2524	0.0037	0.2007
72	0.0048	0.2204	0.0036	0.2012	0.0036	0.1872
73	0.0052	0.1715	0.0039	0.2310	0.0034	0.2105
74	0.0043	0.1617	0.0040	0.2164	0.0034	0.2100
75	0.0041	0.1994	0.0037	0.2365	0.0038	0.2126
76	0.0044	0.1664	0.0035	0.2622	0.0038	0.2157
77	0.0039	0.2044	0.0038	0.2222	0.0035	0.1740
78	0.0051	0.1925	0.0040	0.1632	0.0032	0.1946
79	0.0041	0.1740	0.0040	0.2188	0.0033	0.2197
80	0.0047	0.2176	0.0035	0.2150	0.0041	0.2532
81	0.0051	0.1904	0.0037	0.1768	0.0042	0.2089
82	0.0050	0.1838	0.0040	0.2202	0.0033	0.2211
83	0.0046	0.2026	0.0041	0.1632	0.0039	0.1969
84	0.0041	0.2541	0.0040	0.2972	0.0034	0.1947
85	0.0039	0.2587	0.0033	0.2257	0.0036	0.2036
86	0.0051	0.2361	0.0038	0.2033	0.0035	0.1812
87	0.0038	0.2846	0.0035	0.2212	0.0036	0.1712
88	0.0048	0.1439	0.0041	0.2192	0.0035	0.2096
89	0.0046	0.1409	0.0039	0.2419	0.0032	0.2352
90	0.0045	0.1373	0.0039	0.1863	0.0037	0.2224
91	0.0062	0.2081	0.0044	0.2083	0.0034	0.1521
92	0.0037	0.1736	0.0038	0.2442	0.0037	0.1922
93	0.0046	0.1888	0.0047	0.2476	0.0031	0.2360
94	0.0044	0.2128	0.0034	0.2005	0.0035	0.2295
95	0.0045	0.1742	0.0038	0.2734	0.0035	0.2019
96	0.0037	0.1943	0.0036	0.2053	0.0035	0.2207
97	0.0042	0.1986	0.0040	0.1916	0.0038	0.1739
98	0.0049	0.1826	0.0036	0.1951	0.0034	0.1913
99	0.0053	0.2242	0.0033	0.1973	0.0035	0.2037
100	0.0053	0.2301	0.0035	0.2473	0.0035	0.2702
