Epoch,loss_batch16,val_loss_batch16,loss_batch32,val_loss_batch32,loss_batch64,val_loss_batch64
1,0.0078,0.3268,0.0042,0.2267,0.0037,0.252
2,0.006,0.3481,0.004,0.1714,0.0037,0.2277
3,0.0074,0.3637,0.0039,0.2429,0.0032,0.2317
4,0.0087,0.4035,0.0047,0.2118,0.0036,0.294
5,0.0059,0.2675,0.004,0.2102,0.0036,0.3112
6,0.0058,0.2129,0.0038,0.1838,0.0035,0.2548
7,0.007,0.3971,0.0039,0.2248,0.0036,0.2512
8,0.0061,0.2848,0.0042,0.2385,0.004,0.2528
9,0.0063,0.2715,0.0036,0.2687,0.0033,0.2276
10,0.0045,0.2448,0.0038,0.1722,0.0033,0.1793
11,0.0076,0.2225,0.0039,0.1896,0.0035,0.2497
12,0.0056,0.2392,0.0041,0.2103,0.0037,0.2327
13,0.0059,0.2203,0.0033,0.2234,0.0033,0.2504
14,0.0056,0.2884,0.0036,0.2093,0.0034,0.286
15,0.0049,0.3051,0.0041,0.2234,0.0032,0.2137
16,0.0056,0.2624,0.0038,0.1905,0.0032,0.2354
17,0.0058,0.2045,0.0034,0.1768,0.0034,0.2658
18,0.0066,0.2304,0.0052,0.1581,0.0037,0.2746
19,0.0073,0.1841,0.0043,0.1975,0.0041,0.2106
20,0.0057,0.2254,0.0037,0.1573,0.0034,0.1797
21,0.005,0.2902,0.0036,0.1651,0.0034,0.2297
22,0.0059,0.2623,0.0043,0.2088,0.0037,0.2982
23,0.0059,0.2769,0.004,0.1751,0.0033,0.2455
24,0.0052,0.2567,0.0036,0.2255,0.0033,0.2782
25,0.0055,0.2274,0.0041,0.156,0.0036,0.2832
26,0.005,0.2521,0.0041,0.2283,0.0038,0.2554
27,0.0054,0.2615,0.0039,0.2334,0.0033,0.2206
28,0.0049,0.2518,0.0043,0.1583,0.0034,0.2219
29,0.006,0.2992,0.0047,0.1346,0.0032,0.2587
30,0.0066,0.2061,0.0038,0.1821,0.0032,0.2725
31,0.0051,0.2121,0.0039,0.2173,0.0032,0.2937
32,0.0056,0.2873,0.0039,0.1687,0.0034,0.2634
33,0.0051,0.2556,0.0041,0.2551,0.0034,0.2463
34,0.0051,0.25,0.0054,0.2316,0.0038,0.3021
35,0.0047,0.2991,0.0035,0.2056,0.0035,0.2389
36,0.0059,0.267,0.0036,0.1886,0.0035,0.2621
37,0.0062,0.2532,0.0039,0.1632,0.0037,0.2277
38,0.0058,0.2299,0.0043,0.2636,0.0035,0.2456
39,0.0058,0.2183,0.0035,0.2238,0.0038,0.2444
40,0.0062,0.2331,0.004,0.2317,0.0034,0.2568
41,0.0054,0.1718,0.0049,0.1839,0.0028,0.254
42,0.0064,0.2255,0.0039,0.2204,0.003,0.2231
43,0.0046,0.3122,0.0041,0.1532,0.0035,0.2321
44,0.0058,0.2257,0.0037,0.1836,0.0037,0.2313
45,0.006,0.2611,0.0046,0.2108,0.0035,0.2178
46,0.0059,0.2003,0.004,0.2041,0.0042,0.2314
47,0.0049,0.1685,0.0044,0.1957,0.0036,0.2302
48,0.0049,0.272,0.0039,0.1902,0.0035,0.26
49,0.0049,0.2213,0.0044,0.2064,0.004,0.2244
50,0.0052,0.2149,0.0041,0.2248,0.0038,0.2187
